Numer KRS,Regon,Nip,Nazwa firmy,Forma prawna,Województwo,Powiat,Gmina,Miejscowość,Ulica,Numer domu,Numer lokalu,Kod pocztowy,Poczta,Numer kierunkowy 1,Telefon 1,Numer kierunkowy 2,Telefon 2,Kierunowy fax,Fax,Kapitał,Data rozpoczęcia działalności,Data powstania,Adres WWW,Adres Email,Główny PKD,Zatrudnienie,PKD 1,PKD 2,PKD 3,Pierwsze imię,Drugie imię,Nazwisko lub Nazwa ,Nazwisko drugi człon,Funkcja,Data wpisania,Column1
i2821238,241107145,6472492835,"RYDUŁTOWSKIE CENTRUM KULTURY ""FENIKS""",JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŚLĄSKIE,WODZISŁAWSKI,RYDUŁTOWY,RYDUŁTOWY,UL. STRZELCÓW BYTOMSKICH,9 A,,44-280,RYDUŁTOWY,,324577006,,,,,0,2/1/2009,1/28/2009,,cht@autograf.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2165689,793615,6331820237,GMINNY OŚRODEK KULTURY,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŚLĄSKIE,CIESZYŃSKI,ZEBRZYDOWICE,ZEBRZYDOWICE,UL. KS. ANTONIEGO JANUSZA,21,,43-410,ZEBRZYDOWICE,,324693334,,,,324693334,0,1/1/1978,1/1/1978,www.gok.zebrzydowice.pl,gok@gok.zebrzydowice.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'50-99, , , ,,,,,,,
i2165803,276656525,6331045666,MIEJSKI OŚRODEK KULTURY W JASTRZĘBIU ZDROJU,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŚLĄSKIE,M. JASTRZĘBIE-ZDRÓJ,M. JASTRZĘBIE-ZDRÓJ,JASTRZĘBIE-ZDRÓJ,ALEJA JÓZEFA PIŁSUDSKIEGO,27,,44-335,JASTRZĘBIE-ZDRÓJ,,324717924,,,,324718980,0,7/1/1992,7/1/1992,www.mokjastrzebie.pl,sekretariat@mok.jastrzebie.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'50-99, , , ,,,,,,,
i3135542,243019563,6472565994,GMINNY OŚRODEK KULTURY I REKREACJI W MSZANIE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŚLĄSKIE,WODZISŁAWSKI,MSZANA,MSZANA,UL. MICKIEWICZA,92,,44-325,MSZANA,,324720076,,,,324720076,0,9/1/2012,9/1/2012,,kontakt@gokir-mszana.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2821161,272539604,6331645886,GMINNY OŚRODEK KULTURY,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŚLĄSKIE,PSZCZYŃSKI,PAWŁOWICE,PAWŁOWICE,UL. ZJEDNOCZENIA,67,,43-250,PAWŁOWICE,,324722570,,,,,0,11/15/1991,6/15/1992,www.kultura.pawlowice.pl,gokpawlowice@hoga.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2821253,240879207,6472465235,"GMINNE CENTRUM KULTURY, SPORTU I TURYSTYKI W GODOWIE",JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŚLĄSKIE,WODZISŁAWSKI,GODÓW,GODÓW,UL. 1 MAJA,93,,44-340,GODÓW,,324765630,,,,,0,4/1/2008,3/28/2008,,centrum@gckgodow.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2609618,729623,6281015254,POWIATOWY MŁODZIEŻOWY DOM KULTURY IM. MJR. HENRYKA SUCHARSKIEGO W TRZEBINI,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,CHRZANOWSKI,TRZEBINIA,TRZEBINIA,UL. KOŚCIUSZKI,72,,32-540,TRZEBINIA,,326121052,,,,326115054,0,9/1/1952,9/1/1952,www.pmdk-trzebinia.pl,mdktrzebinia@o2.pl,"85.59.B - POZOSTAŁE POZASZKOLNE FORMY EDUKACJI, GDZIE INDZIEJ NIESKLASYFIKOWANE",'10-29, , , ,,,,,,,
i2164824,121544924,6282251382,TRZEBIŃSKIE CENTRUM KULTURY W TRZEBINI,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,CHRZANOWSKI,TRZEBINIA,TRZEBINIA,UL. KOŚCIUSZKI,74,,32-540,TRZEBINIA,,326121497,,,,,0,7/1/2011,7/1/2011,,sekretariat@tck.trzebinia.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'50-99, , , ,,,,,,,
i2820579,272535960,6281871154,GMINNY OŚRODEK KULTURY W BABICACH,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,CHRZANOWSKI,BABICE,BABICE,UL. KRAKOWSKA,47,,32-551,BABICE,,326134094,,,,,0,1/1/1992,1/1/1992,,gokis.babice@gmail.com,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2164813,284842,6280000606,MIEJSKE CENTRUM KULTURY I SZTUKI W CHRZANOWIE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,CHRZANOWSKI,CHRZANÓW,CHRZANÓW,UL. WŁADYSŁAWA BRONIEWSKIEGO,4,,32-500,CHRZANÓW,,326233086,,,,,0,12/15/1975,12/15/1975,www.moksir.chrzanow.pl/start/kontakt-2/,moksir@chrzanow.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'50-99, , , ,,,,,,,
i3677756,272449901,6281007119,LIBIĄSKIE CENTRUM KULTURY,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,CHRZANOWSKI,LIBIĄŻ,LIBIĄŻ,UL. GÓRNICZA,1,,32-590,LIBIĄŻ,,326271262,,,,,0,3/1/1995,3/1/1995,www.libiaz.pl,lck_@poczta.onet.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2714012,826674,6371005609,MIEJSKI OŚRODEK KULTURY W BUKOWNIE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,OLKUSKI,BUKOWNO,BUKOWNO,UL. KOLEJOWA,3,,32-332,BUKOWNO,,326421938,,,,326421938,0,1/1/1979,1/1/1979,www.mokbukowno.pl,mokbukowno@op.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2820555,271513407,6371938525,CENTRUM KULTURY IM. MARII PŁONOWSKIEJ W BOLESŁAWIU,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,OLKUSKI,BOLESŁAW,BOLESŁAW,UL. GŁÓWNA,55,,32-329,BOLESŁAW,,326424073,,,,326424073,0,7/1/1991,7/1/1991,,ck@gminaboleslaw.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2381910,844710,6371000032,MIEJSKI OŚRODEK KULTURY W OLKUSZU,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,OLKUSKI,OLKUSZ,OLKUSZ,UL. FRANCESCO NULLO,29,,32-300,OLKUSZ,,326431120,,,,327545296,0,9/1/1991,9/1/1991,www.mok.olkusz.pl,sekr@mok.olkusz.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2820556,1105327,6371077483,DOM KULTURY W WOLBROMIU,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,OLKUSKI,WOLBROM,WOLBROM,UL. LEŚNA,2,,32-340,WOLBROM,,326441341,,,,,0,1/1/1985,1/1/1985,www.dk.wolbrom.pl,info@dk.wolbrom.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2821103,240620194,6492202875,GMINNY OŚRODEK KULTURY SPORTU I TURYSTYKI,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŚLĄSKIE,ZAWIERCIAŃSKI,ŻARNOWIEC,ŻARNOWIEC,UL. RYNEK,9,,42-439,ŻARNOWIEC,,326449114,,,,,0,4/1/2007,1/31/2007,,gok114@poczta.onet.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2820553,272537143,6370122141,GMINNY OŚRODEK KULTURY W KLUCZACH,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,OLKUSKI,KLUCZE,KLUCZE,UL. PARTYZANTÓW,1,,32-310,KLUCZE,,326471460,,,,,0,11/1/1991,11/1/1991,,gok@gmina-klucze.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2165552,861653,6491003984,"MIEJSKI OŚRODEK KULTURY ""CENTRUM"" IM. ADAMA MICKIEWICZA",JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŚLĄSKIE,ZAWIERCIAŃSKI,ZAWIERCIE,ZAWIERCIE,UL. PIASTOWSKA,1,,42-400,ZAWIERCIE,,326722882,,,,326722882,0,10/1/1980,10/1/1980,www.mok.pl,sekretariat@mok.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'50-99, , , ,,,,,,,
i2382576,1108484,6491641130,MIEJSKI OŚRODEK KULTURY W ŁAZACH,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŚLĄSKIE,ZAWIERCIAŃSKI,ŁAZY,ŁAZY,UL. TADEUSZA KOŚCIUSZKI,5,,42-450,ŁAZY,,326729453,,,,326729453,0,3/7/1985,3/7/1985,,sekretariat@moklazy.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2382574,287355,6490018498,MIEJSKO-GMINNY OŚRODEK KULTURY I SPORTU W OGRODZIEŃCU,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŚLĄSKIE,ZAWIERCIAŃSKI,OGRODZIENIEC,OGRODZIENIEC,PLAC WOLNOŚCI,24,,42-440,OGRODZIENIEC,,326732044,,,,,0,12/15/1975,12/15/1975,,kultura@ogrodzieniec.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i6368190,243483697,6492299567,MIEJSKO - GMINNA BIBLIOTEKA PUBLICZNA W PILICY,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŚLĄSKIE,ZAWIERCIAŃSKI,PILICA,PILICA,UL. ZAWIERCIAŃSKA,12,,42-436,PILICA,,326735143,,,,326735143,0,2/1/2014,2/1/2014,,biblioteka_pilica@poczta.onet.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2382582,287591,6490010462,MIEJSKO - GMINNE CENTRUM KULTURY SPORTU I TURYSTYKI W SIEWIERZU,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŚLĄSKIE,BĘDZIŃSKI,SIEWIERZ,SIEWIERZ,UL. JULIUSZA SŁOWACKIEGO,2A,,42-470,SIEWIERZ,,326741649,,,32,6741649,0,12/15/1975,12/15/1975,www.mgcksit.siewierz.pl,mgcksit@siewierz.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2610131,271961896,6491531743,MIEJSKI OŚRODEK KULTURY W PORĘBIE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŚLĄSKIE,ZAWIERCIAŃSKI,PORĘBA,PORĘBA,UL. ADAMA MICKIEWICZA,2,,42-480,PORĘBA,,326771073,,,,326771073,0,1/1/1994,1/1/1994,www.mokporeba.pl,biuro@mokporeba.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2821015,273564410,6462496234,GMINNY OŚRODEK KULTURY,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŚLĄSKIE,BIERUŃSKO-LĘDZIŃSKI,CHEŁM ŚLĄSKI,CHEŁM ŚLĄSKI,UL. OWOCOWA,10,,41-403,CHEŁM ŚLĄSKI,,327080035,,,,,0,4/11/1997,4/11/1997,,swietlica.chelmsl@interia.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2165708,276709799,6321789678,MIEJSKIE CENTRUM KULTURY I SPORTU W JAWORZNIE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŚLĄSKIE,M. JAWORZNO,M. JAWORZNO,JAWORZNO,UL. KRAKOWSKA,8,,43-600,JAWORZNO,,327451030,,,32,6141767,0,1/1/2000,1/1/2000,,info@mckis.jaw.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'50-99, , , ,,,,,,,
i2714493,726487,6251695304,POWIATOWY MŁODZIEŻOWY DOM KULTURY W BĘDZINIE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŚLĄSKIE,BĘDZIŃSKI,BĘDZIN,BĘDZIN,UL. POWSTAŃCÓW ŚLĄSKICH,1,,42-500,BĘDZIN,,327621269,,,,327621269,0,9/1/1949,9/1/1949,www.pmdk.bedzin.pl,pmdk@pmdk.bedzin.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2165717,271590891,6321901141,MŁODZIEŻOWY DOM KULTURY IM. JAWORZNIAKÓW W JAWORZNIE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŚLĄSKIE,M. JAWORZNO,M. JAWORZNO,JAWORZNO,UL. INWALIDÓW WOJENNYCH,2,,43-600,JAWORZNO,,327629220,,,,,0,2/1/1984,2/1/1984,www.mdk.jaworzno.edu.pl,sekretariat@mdk.jaworzno.edu.pl,85.52.Z - POZASZKOLNE FORMY EDUKACJI ARTYSTYCZNEJ,'50-99, , , ,,,,,,,
i2821115,241541166,6252413733,MIEJSKI OŚRODEK KULTURY W WOJKOWICACH,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŚLĄSKIE,BĘDZIŃSKI,WOJKOWICE,WOJKOWICE,UL. JAWORZNIK,6,,42-580,WOJKOWICE,,327696482,,,,,0,4/1/2010,4/1/2010,www.mokwojkowice.pl,mok@mokwojkowice.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2714392,725370,6271263602,MŁODZIEŻOWY DOM KULTURY IM. WŁADYSŁAWA BRONIEWSKIEGO W ŚWIĘTOCHŁOWICACH,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŚLĄSKIE,M. ŚWIĘTOCHŁOWICE,M. ŚWIĘTOCHŁOWICE,ŚWIĘTOCHŁOWICE,UL. HARCERSKA,1,,41-600,ŚWIĘTOCHŁOWICE,,327700071,,,,327700071,0,9/1/1974,9/1/1974,www.mdksw.pl,sekretariat@mdksw.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i4405905,281223,6251033448,OŚRODEK KULTURY W BĘDZINIE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŚLĄSKIE,BĘDZIŃSKI,BĘDZIN,BĘDZIN,UL. STANISŁAWA MAŁACHOWSKIEGO,43,,42-500,BĘDZIN,,327758200,,,,323636160,0,12/15/1975,6/30/1992,www.ok.bedzin.pl,sekretariat@ok.bedzin.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2382653,72347070,9371551905,DOM KULTURY W KOZACH,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŚLĄSKIE,BIELSKI,KOZY,KOZY,UL. KRAKOWSKA,2,,43-340,KOZY,,328174232,,,,,0,1/1/1994,1/1/1994,,faktury@dk.kozy.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2820660,357080608,5512210720,OGNISKO PRACY POZASZKOLNEJ W ANDRYCHOWIE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,WADOWICKI,ANDRYCHÓW,ANDRYCHÓW,UL. METALOWCÓW,10,,34-120,ANDRYCHÓW,,334322760,,,,,0,5/30/1974,10/29/2012,www.owr.abdrychow.pl,ognisko@andrychow.eu,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2382123,72915769,5532297428,MIEJSKIE CENTRUM KULTURY,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŚLĄSKIE,ŻYWIECKI,ŻYWIEC,ŻYWIEC,ALEJA WOLNOŚCI,4,,34-300,ŻYWIEC,,334751160,,,,,0,8/2/2004,8/2/2004,,mck@mck.zywiec.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2821192,70648034,5481351849,"MIEJSKIE CENTRUM KULTURY ""INTEGRATOR""",JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŚLĄSKIE,CIESZYŃSKI,SKOCZÓW,SKOCZÓW,UL. MICKIEWICZA,9,,43-430,SKOCZÓW,,334791040,,,,334791040,0,2/8/1996,10/9/1999,www.mckskoczow.pl,integrator@mckskoczow.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2820583,357178856,5491049081,"GMINNE CENTRUM KULTURY, CZYTELNICTWA I SPORTU W OSIEKU",JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,OŚWIĘCIMSKI,OSIEK,OSIEK,UL. GŁÓWNA,94,,32-608,OSIEK,,334841888,,,33,4841888,0,1/1/1991,2/1/2013,,gbp@osiek.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2821181,72896285,9372415647,OŚRODEK PROMOCJI GMINY JAWORZE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŚLĄSKIE,BIELSKI,JAWORZE,JAWORZE,UL. WAPIENICKA,25,,43-384,JAWORZE,,334883116,,,,338172871,0,3/1/2004,2/25/2004,www.opgj.pl,biuro@opgj.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2821175,240017032,9372440384,GMINNY OŚRODEK KULTURY W PORĄBCE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŚLĄSKIE,BIELSKI,PORĄBKA,PORĄBKA,UL. RYNEK,22,,43-353,PORĄBKA,,338106055,,,,338106055,0,1/1/2005,12/29/2004,www.gokporabka.com.pl,biuro@gokporabka.com.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2820669,357189860,5520002261,CENTRUM KULTURY I FILMU W SUCHEJ BESKIDZKIEJ,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,SUSKI,SUCHA BESKIDZKA,SUCHA BESKIDZKA,UL. ADAMA MICKIEWICZA,27,,34-200,SUCHA BESKIDZKA,,338120888,,,,338741303,0,6/12/2000,5/30/2000,www.centrum-kultury.com,informacja@centrum-kultury.com,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2165662,70615661,5471029394,MIEJSKI DOM KULTURY,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŚLĄSKIE,M. BIELSKO-BIAŁA,M. BIELSKO-BIAŁA,BIELSKO-BIAŁA,UL. 1 MAJA,12,,43-300,BIELSKO-BIAŁA,,338125692,,,,,0,1/15/1996,1/15/1996,,mdk@mdk.bielsko.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'50-99, , , ,,,,,,,
i2821166,283222,5471008216,REGIONALNY OŚRODEK KULTURY,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŚLĄSKIE,M. BIELSKO-BIAŁA,M. BIELSKO-BIAŁA,BIELSKO-BIAŁA,UL. 1 MAJA,8,,43-300,BIELSKO-BIAŁA,,338126908,,,,,0,12/15/1975,1/1/1999,www.rok.bielsko.pl,rok@rok.bielsko.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2069020,361299137,9372673740,"GMINNY OŚRODEK KULTURY ""PROMYK""",JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŚLĄSKIE,BIELSKI,WILKOWICE,BYSTRA,UL. JULIANA FAŁATA,2K,,43-360,WILKOWICE,,338170773,,,,,0,4/16/2015,4/16/2015,www.gokpromyk.pl/kontakt/,gok@gok.wilkowice.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2821178,72361087,9372303457,GMINNY OŚRODEK KULTURY W BUCZKOWICACH,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŚLĄSKIE,BIELSKI,BUCZKOWICE,BUCZKOWICE,UL. WYZWOLENIA,554,,43-374,BUCZKOWICE,,338177120,,,,338177120,0,7/1/2000,6/15/2000,,gokbuczkowice@wp.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2714567,72320444,5470087774,"MIEJSKI OŚRODEK KULTURY, PROMOCJI I INFORMACJI IM. JANA WIĘZIKA",JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŚLĄSKIE,BIELSKI,SZCZYRK,SZCZYRK,UL. BESKIDZKA,106,,43-370,SZCZYRK,,338178636,,,,338178636,0,1/1/2000,1/1/2000,www.szczyrk.pl,administracja@kultura.szczyrk.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2357459,72341481,9371606753,GMINNY OŚRODEK KULTURY W JASIENICY,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŚLĄSKIE,BIELSKI,JASIENICA,JASIENICA,,1360,,43-385,JASIENICA,,338212056,,,,338212056,0,4/28/1980,4/28/1980,www.gokjasienica.pl,gokjasienica.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2718589,357232610,5512259991,WADOWICKIE CENTRUM KULTURY IM. MARCINA WADOWITY,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,WADOWICKI,WADOWICE,WADOWICE,UL. TEATRALNA,1,,34-100,WADOWICE,,338233156,,,,338233156,0,10/1/2000,10/1/2000,www.wck.wadowice.pl,centrum@wck.wadowice.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2820650,357244553,5512269877,OŚRODEK KULTURY GMINY TOMICE IM.WINCENTEGO BAŁYSA,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,WADOWICKI,WADOWICE,TOMICE,UL. DWORSKA,9,,34-100,WADOWICE,,338234809,,,,338234809,0,9/29/2000,9/29/2000,,kultura@tomice.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i3545524,70400268,5470046060,BIELSKIE CENTRUM KULTURY IM. MARII KOTERBSKIEJ,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŚLĄSKIE,M. BIELSKO-BIAŁA,M. BIELSKO-BIAŁA,BIELSKO-BIAŁA,UL. JULIUSZA SŁOWACKIEGO,27,,43-300,BIELSKO-BIAŁA,,338281665,,,,,0,3/17/1993,1/1/1988,,bck@bck.bielsko.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2820585,357215729,5492060417,REGIONALNY OŚRODEK KULTURY DOLINY KARPIA W ZATORZE IM.JANA MATEJKI,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,OŚWIĘCIMSKI,ZATOR,ZATOR,PLAC JANA MATEJKI,1,,32-640,ZATOR,,338412166,,,,338412166,0,6/19/1996,6/19/1996,www.rokzator.pl,sekretariat@rokzator.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2164838,357184621,5491056589,OŚWIĘCIMSKIE CENTRUM KULTURY,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,OŚWIĘCIMSKI,OŚWIĘCIM,OŚWIĘCIM,UL. JĘDRZEJA ŚNIADECKIEGO,24,,32-600,OŚWIĘCIM,,338422575,,,,338422575,0,1/1/2000,1/1/2000,www.ock.org.pl,ock@ock.org.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'50-99, , , ,,,,,,,
i2714039,747160,5491146022,MŁODZIEŻOWY DOM KULTURY W OŚWIĘCIMIU,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,OŚWIĘCIMSKI,OŚWIĘCIM,OŚWIĘCIM,UL. KAROLA OLSZEWSKIEGO,1,,32-602,OŚWIĘCIM,,338424264,,,,,0,8/31/1973,8/31/1973,www.mdkoswiecim.pl,sekretariat.mdk@powiat.oswiecim.pl,85.52.Z - POZASZKOLNE FORMY EDUKACJI ARTYSTYCZNEJ,'10-29, , , ,,,,,,,
