Nazwa Firmy,Województwo,Powiat,Gmina,Miejscowość,Ulica,Numer Domu,Numer Lokalu,Kod Pocztowy,Poczta,Telefon ,Adres WWW,Adres Email
Centrum Kultury I Sportu W Skawinie,Małopolskie,Krakowski,Skawina,Skawina,Ul. Żwirki I Wigury,11,,32-050,Skawina,122762601,www.ckis.pl,centrumks@ckis.pl
Centrum Kultury I Sportu W Rykach,Lubelskie,Rycki,Ryki,Ryki,Ul. Warszawska,11,,08-500,Ryki,818651616,,centrumkultury.ryki@wp.pl
Gminne Centrum Kultury W Koszycach,Małopolskie,Proszowicki,Koszyce,Koszyce,Ul. Wspólna,11,,32-130,Koszyce,,,ckgk@koszyce.gmina.pl
Dąbrowski Dom Kultury,Małopolskie,Dąbrowski,Dąbrowa Tarnowska,Dąbrowa Tarnowska,Ul. Kościuszki,11,,33-200,Dąbrowa Tarnowska,146559214,,ddk0@op.pl
Dom Kultury W Łęczycy,Łódzkie,Łęczycki,Łęczyca,Łęczyca,Ul. Aleje Jana Pawła Ii,11,,99-100,Łęczyca,247210349,www.dkleczyca.pl,dkleczyca@dkleczyca.pl
"Dom Kultury ""Stokrotka""",Wielkopolskie,M. Poznań,Poznań-Grunwald,Poznań,Ul. Cyniowa,11,,60-175,Poznań,618671919,,dkstokrotka@tlen.pl
Dom Kultury W Trzemesznie,Wielkopolskie,Gnieźnieński,Trzemeszno,Trzemeszno,Ul. Św. Jana,11,,62-240,Trzemeszno,614154380,www.dktrzemeszno.net,domkultury@dktrzemeszno.net
Gminny Ośrodek Kultury W Sadkach,Kujawsko-Pomorskie,Nakielski,Sadki,Sadki,Ul. Strażacka,11,,89-110,Sadki,523393957,,dyrektor.gok@sadki.pl
Gminny Ośrodek Kultury,Mazowieckie,Mławski,Szreńsk,Szreńsk,Ul. Plac Kanoniczny,11,,06-550,Szreńsk,236534108,,gbp@poczta.onet.pl
Gminny Ośrodek Kultury W Boćkach,Podlaskie,Bielski,Boćki,Boćki,Ul. Dubieńska,11,,17-111,Boćki,857313043,,gok@gokbocki.pl
Gminne Centrum Kultury W Harasiukach,Podkarpackie,Niżański,Harasiuki,Harasiuki,Ul. Długa,11,,37-413,Harasiuki,158791331,,gok@harasiuki.pl
Gminny Ośrodek Kultury W Rymanowie,Podkarpackie,Krośnieński,Rymanów,Rymanów,Ul. Grunwaldzka,11,,38-480,Rymanów,134355067,www.info.rymanow.pl,gok@rymanow.pl
Gminne Centrum Kultury I Bibliotek W Gromniku,Małopolskie,Tarnowski,Gromnik,Gromnik,Ul. Jana Pawła Ii,11,,33-180,Gromnik,146285330,,gokgromnik@op.pl
Gminny Ośrodek Kultury I Sportu,Dolnośląskie,Legnicki,Kunice,Kunice,Ul. Słoneczna,11,,59-216,Kunice,768575477,,gokis@gokis-kunice.pl
Gminny Ośrodek Kultury I Sportu W Pankach,Śląskie,Kłobucki,Panki,Panki,Ul. Ogrodowa,11,,42-140,Panki,343179223,,gokpanki@o2.pl
Gminny Ośrodek Kultury Rudziniec,Śląskie,Gliwicki,Rudziniec,Poniszowice,Ul. Parkowa,11,,44-172,Poniszowice,322303105,,gokpon@wp.pl
Gminny Ośrodek Kultury Sportu I Turystyki W Przerośli,Podlaskie,Suwalski,Przerośl,Przerośl,Ul. Rynek,11,,16-427,Przerośl,876182700,,goksit@przerosl.eu
Miejski Dom Kultury - Świetlica W Kleszczowie,Śląskie,M. Żory,M. Żory,Żory,Ul. 11 Listopada,11,,44-240,Żory,518438170,,kleszczow@mok.zory.pl
"Kościański Ośrodek Kultury,Kościan",Wielkopolskie,Kościański,Kościan,Kościan,Ul. Adama Mickiewicza,11,,64-000,Kościan,655120575,,kok@koscian.pl
Dom Kultury W Kroczycach,Śląskie,Zawierciański,Kroczyce,Kroczyce,Ul. Batalionów Chłopskich,11,,42-425,Kroczyce,343410207,www.dk-kroczyce.pl/kontakt/,kontakt@dk-kroczyce.pl
Dzierzgoński Ośrodek Kultury,Pomorskie,Sztumski,Dzierzgoń,Dzierzgoń,Ul. Krzywa,16,,82-440,Dzierzgoń,552762647,,dok.dzierzgon@wp.pl
Łaski Dom Kultury W Łasku,Łódzkie,Łaski,Łask,Łask,Ul. Gabriela Narutowicza,11,,98-100,Łask,436753713,www.laskidomkultury.com.pl/kontakt/,kontakt@laskidomkultury.com.pl
Gminny Ośrodek Kultury W Dziadowej Kłodzie,Dolnośląskie,Oleśnicki,Dziadowa Kłoda,Dziadowa Kłoda,Ul. 1 Maja,11,,56-504,Dziadowa Kłoda,627851772,,kulturagok@gmail.com
Miejsko-Gminny Ośrodek Kultury W Piwnicznej-Zdroju,Małopolskie,Nowosądecki,Piwniczna-Zdrój,Piwniczna-Zdrój,Ul. Rynek,11,,33-350,Piwniczna-Zdrój,184464157,,mgok_piwniczna@onet.pl
Miejsko-Gminny Ośrodek Kultury W Ślesinie,Wielkopolskie,Koniński,Ślesin,Ślesin,Ul. Młodzieżowa,11,,62-561,Ślesin,501438308,,mgok@slesin.pl
Miejsko-Gminny Ośrodek Kultury W Krzyżu Wielkopolskim,Wielkopolskie,Czarnkowsko-Trzcianecki,Krzyż Wielkopolski,Krzyż Wielkopolski,Ul. Wojska Polskiego,11,,64-761,Krzyż Wielkopolski,672564139,,mgokkrzyz@wp.pl
Powiatowy Dom Kultury W Sokółce,Podlaskie,Sokólski,Sokółka,Sokółka,Ul. Adama Mickiewicza,11,,16-100,Sokółka,502331360,www.pedek-sokolka.pl/,pdk@sokolka-powiat.pl
Centrum Kultury I Biblioteka Im. Powstańców Wielkopolskich W Opalenicy,Wielkopolskie,Nowotomyski,Opalenica,Opalenica,Osiedle Centrum,11,,64-330,Opalenica,614477460,www.ckopalenica.pl,poczta@ckibopalenica.pl
"Młodzieżowy Dom Kultury ""Pod Akacją"" W Lublinie",Lubelskie,M. Lublin,M. Lublin,Lublin,Ul. Grodzka,11,,20-112,Lublin,815322740,www.mdk.lublin.pl,poczta@mdk.lublin.eu
Regionalny Ośrodek Kultury I Sportu W Krzczonowie,Lubelskie,Lubelski,Krzczonów,Krzczonów,Ul. Stefana Żeromskiego,11,,23-110,Krzczonów,815664074,www.rokis.pl,rokiskrzczonow@tlen.pl
Bialskie Centrum Kultury Im. Bogusława Kaczyńskiego W Białej Podlaskiej,Lubelskie,M. Biała Podlaska,M. Biała Podlaska,Biała Podlaska,Ul. Warszawska,11,,21-500,Biała Podlaska,833426294,,sekretariat@bck24.pl
Gminne Centrum Kulturalno Biblioteczne W Starym Dzierzgoniu,Pomorskie,Sztumski,Stary Dzierzgoń,Stary Dzierzgoń,,22,,82-450,Stary Dzierzgoń,552769098,,r.lewkowicz@starydzierzgon.pl
Gminne Centrum Kultury Sportu I Turystyki W Radkowie,Dolnośląskie,Kłodzki,Radków,Radków,Ul. Handlowa,11,,57-420,Radków,748712261,www.gorystolowe.info,sekretariat@gorystolowe.info
Regionalne Centrum Animacji Kultury,Lubuskie,M. Zielona Góra,M. Zielona Góra,Zielona Góra,Ul. Henryka Sienkiewicza,11,,65-431,Zielona Góra,684529301,www.rcak.pl,sekretariat@rcak.pl
"Dom Kultury ""Świt"" W Dzielnicy Targówek M. St. Warszawy",Mazowieckie,M. St. Warszawa,Targówek,Warszawa,Ul. Piotra Wysockiego,11,,03-371,Warszawa,228965100,www.dkswit.com.pl,swit@dkswit.com.pl
Gminny Ośrodek Kultury,Podkarpackie,Leski,Baligród,Baligród,Ul. Plac Wolności,11,,38-606,Baligród,134684004,,turystyka@baligrod.pl
Dom Kultury W Pawłowicach Osiedlu,Śląskie,Pszczyński,Pawłowice,Pawłowice,Ul. Wojska Polskiego,11,,43-251,Pawłowice,,,
Ośrodek Kultury W Jastrowiu - Świetlica Wiejska,Wielkopolskie,Złotowski,Jastrowie,Nadarzyce,,11,,64-915,Jastrowie,,,
Gminny Ośrodek Kultury W Miedźnej Z Siedzibą W Woli,Śląskie,Pszczyński,Miedźna,Wola,Ul. Pszczyńska,110,,43-225,Wola,322118391,,gok@gok.miedzna.pl
Gminny Ośrodek Kultury,Kujawsko-Pomorskie,Grudziądzki,Świecie Nad Osą,Świecie Nad Osą,,112,,86-341,Świecie Nad Osą,564661901,,gok@swiecienadosa.pl
Gminny Dom Kultury W Czarnej,Podkarpackie,Bieszczadzki,Czarna,Czarna Górna,,113,,38-710,Czarna Górna,134619346,www.czarna.pl,czarna.gok@wp.pl
Powiatowy Młodzieżowy Dom Kultury Im. Henryka Jordana W Tarnowskich Górach - Filia W Radzionkowie,Śląskie,Tarnogórski,Radzionków,Radzionków,Ul. Ks. Dr. Józefa Knosały,113,,41-922,Radzionków,322890041,www.mdk.tgory.pl,filia_radzionkow@mdk.tgory.pl
"Gminny Ośrodek Kultury,Sportu,Turystyki I Rekreacji W Jarocinie",Podkarpackie,Niżański,Jarocin,Jarocin,,114,,37-405,Jarocin,158713147,,gokstir@gminajarocin.pl
Miejski Ośrodek Kultury - Filiadzielnicowy Ośrodek Kultury Pawłów,Śląskie,M. Zabrze,M. Zabrze,Zabrze,Ul. Władysława Sikorskiego,114,,41-800,Zabrze,322751286,,
Gminne Centrum Kultury W Dubinach,Podlaskie,Hajnowski,Hajnówka,Dubiny,Ul. Główna,116,,17-200,Hajnówka,856823922,,gck@gmina-hajnowka.pl
Gminny Ośrodek Kultury W Suszcu Remizo-Świetlica W Kyrach,Śląskie,Pszczyński,Suszec,Kryry,Ul. Wyzwolenia,116,,43-265,Suszec,,,
Gminny Ośrodek Kultury W Potoku Górnym,Lubelskie,Biłgorajski,Potok Górny,Potok Górny,,116A,,23-423,Potok Górny,846852548,,gok@potokgorny.com.pl
Gminny Ośrodek Kultury W Dębowej Kłodzie,Lubelskie,Parczewski,Dębowa Kłoda,Dębowa Kłoda,,116A,,21-211,Dębowa Kłoda,253557084,,kultura16@wp.pl
Gminny Ośrodek Kultury W Jastrzębi,Mazowieckie,Radomski,Jastrzębia,Jastrzębia,,119,,26-631,Jastrzębia,,,
Gminny Dom Kultury W Rylsku,Łódzkie,Rawski,Regnów,Rylsk,,11A,,96-232,Regnów,576430555,,gdkrylsk@wp.pl
Dom Kultury Im.Walentego Roździeńskiego,Śląskie,Lubliniecki,Koszęcin,Koszęcin,Ul. Sobieskiego,11A,,42-286,Koszęcin,343576104,,kultura.koszecin@op.pl
Gminne Centrum Kulturalno-Biblioteczne W Dąbrównie,Warmińsko-Mazurskie,Ostródzki,Dąbrówno,Dąbrówno,Ul. Kościuszki,11C,,14-120,Dąbrówno,,www.gckbdabrowno.pl/kontakt/,biblioteka@gckbdabrowno.pl
Gminny Ośrodek Kultury,Dolnośląskie,Głogowski,Pęcław,Białołęka,,12,,67-221,Białołęka,768317196,,bialoleka.gok1@wp.pl
Centrum Kultury W Grabowie N.Prosną,Wielkopolskie,Ostrzeszowski,Grabów Nad Prosną,Grabów Nad Prosną,Ul. Klasztorna,12,,63-520,Grabów Nad Prosną,627305346,,bibliograbow@op.pl
Miejsko - Gminna Biblioteka Publiczna W Pilicy,Śląskie,Zawierciański,Pilica,Pilica,Ul. Zawierciańska,12,,42-436,Pilica,326735143,,biblioteka_pilica@poczta.onet.pl
"Centrum Kultury ""Wisła"" W Wyszogrodzie",Mazowieckie,Płocki,Wyszogród,Wyszogród,Ul. Płocka,12,,09-450,Wyszogród,242312179,,centrum.kultury@wyszogrod.pl
Miejsko-Gminne Centrum Kultury W Oleśnicy,Świętokrzyskie,Staszowski,Oleśnica,Oleśnica,Ul. Rynek,12,,28-220,Oleśnica,798898630,www.mgckolesnica.naszdomkultury.pl,centrum@gminaolesnica.pl
Ośrodek Kultury W Drawsku Pomorskim,Zachodniopomorskie,Drawski,Drawsko Pomorskie,Drawsko Pomorskie,Ul. Józefa Piłsudskiego,12,,78-500,Drawsko Pomorskie,943632230,www.kulturadrawsko.pl,dpok@post.pl
"Centrum Edukacyjno-Kulturalne ""U Kossaków"" W Górkach Wielkich",Śląskie,Cieszyński,Brenna,Górki Wielkie,Ul. Stary Dwór,12,,43-436,Górki Wielkie,606354797,,dyrektor.ukossakow@gmail.com
Biblioteka I Ośrodek Kultury Gminy Mirzec,Świętokrzyskie,Starachowicki,Mirzec,Mirzec-Majorat,,12,,27-220,Mirzec,412713586,,gdki.mirzec@interia.pl
Gminny Ośrodek Kultury W Łaszczowie,Lubelskie,Tomaszowski,Łaszczów,Łaszczów,Ul. Partyzantów,12,,22-650,Łaszczów,846611564,,gok.laszczow@op.pl
Gminny Ośrodek Kultury I Sportu W Waśniowie,Świętokrzyskie,Ostrowiecki,Waśniów,Waśniów,Ul. Ostrowiecka,12,,27-425,Waśniów,412646046,,gok@gminawasniow.pl
Gminny Ośrodek Kultury I Sportu W Golczewie,Zachodniopomorskie,Kamieński,Golczewo,Golczewo,Ul. Zwycięstwa,12,,72-410,Golczewo,512786445,www.gokisgolczewo.pl/,gokis@golczewo.pl
Sztumskie Centrum Kultury,Pomorskie,Sztumski,Sztum,Sztum,Ul. Reja,13,,82-400,Sztum,552772306,www.scksztum.pl,sck@data.pl
"Gminny Ośrodek Kultury, Sportu I Turystyki W Warlubiu",Kujawsko-Pomorskie,Świecki,Warlubie,Warlubie,Ul. Bąkowska,12,,86-160,Warlubie,793286160,www.goksit.warlubie.pl,goksit@warlubie.pl
Centrum Kultury Rondo W Grodzisku Wielkopolskim,Wielkopolskie,Grodziski,Grodzisk Wielkopolski,Grodzisk Wielkopolski,Ul. Kolejowa,12,,62-065,Grodzisk Wielkopolski,614445234,,grodzisk@ckrondo.pl
Zespół Placówek Kultury W Żmigrodzie,Dolnośląskie,Trzebnicki,Żmigród,Żmigród,Ul. Wrocławska,12,,55-140,Żmigród,713853134,www.zpk-zmigrod.eu,info@zpk-zmigrod.eu
"Kazimierski Ośrodek Kultury, Promocji I Turystyki",Lubelskie,Puławski,Kazimierz Dolny,Kazimierz Dolny,Ul. Lubelska,12,,24-120,Kazimierz Dolny,818810040,,kokpit@kokpit.com.pl
Zbąszyńskie Centrum Kultury,Wielkopolskie,Nowotomyski,Zbąszyń,Zbąszyń,Ul. Powstańców Wielkopolskich,12,,64-360,Zbąszyń,683846009,,kultura.zbaszyn@gmail.com
Gminne Centrum Kultury I Sztuki,Dolnośląskie,Trzebnicki,Trzebnica,Trzebnica,Ul. Prusicka,12,,55-100,Trzebnica,713120749,www.gckis/trzebnica.pl,kultura@gckis.trzebnica.pl
Gminny Ośrodek Kultury W Spytkowicach,Małopolskie,Wadowicki,Spytkowice,Spytkowice,Ul. Zamkowa,12,,34-116,Spytkowice,338791555,www.gokspytkowice.pl,kultura@gokspytkowice.pl
Mazowiecki Instytut Kultury,Mazowieckie,M. St. Warszawa,Śródmieście,Warszawa,Ul. Elektoralna,12,,00-139,Warszawa,225864200,www.mckis.waw.pl,mckis@mckis.waw.pl
Miejski Dom Kultury,Śląskie,M. Bielsko-Biała,M. Bielsko-Biała,Bielsko-Biała,Ul. 1 Maja,12,,43-300,Bielsko-Biała,338125692,,mdk@mdk.bielsko.pl
Młodzieżowy Dom Kultury Nr 1,Śląskie,M. Bytom,M. Bytom,Bytom,Ul. Powstańców Warszawskich,12,,41-902,Bytom,322812508,www.mdk.bytom.pl,mdk@mdk.bytom.pl
Młodzieżowy Dom Kultury W Jeleniej Górze,Dolnośląskie,M. Jelenia Góra,M. Jelenia Góra,Jelenia Góra,Ul. Marii Skłodowskiej-Curie,12,,58-500,Jelenia Góra,756424460,www.mdk.jgora.prv.pl,mdkjg@o2.pl
Miejsko Gminny Dom Kultury Im. Franciszka Kotuli,Podkarpackie,Rzeszowski,Głogów Małopolski,Głogów Małopolski,Ul. Kardynała Stefana Wyszyńskiego,12,,36-060,Głogów Małopolski,178640107,,mgdk@mgdk.pl
Miejsko-Gminny Ośrodek Kultury W Pełczycach,Zachodniopomorskie,Choszczeński,Pełczyce,Pełczyce,Ul. Starogrodzka,12,,73-260,Pełczyce,957685075,,mgok.pelczyce@wp.pl
"Miejski Ośrodek Kultury, Sportu I Rekreacji W Czchowie",Małopolskie,Brzeski,Czchów,Czchów,Rynek,12,,32-860,Czchów,146843188,www.czchow.pl,mok@czchow.pl
Miejski Ośrodek Kultury W Moryniu,Zachodniopomorskie,Gryfiński,Moryń,Moryń,Ul. Szeroka,12,,74-503,Moryń,914146123,,mokmoryn@gmail.com
Nasielski Ośrodek Kultury,Mazowieckie,Nowodworski,Nasielsk,Nasielsk,Ul. Tadeusza Kościuszki,12,,05-190,Nasielsk,296912343,,nok@noknasielsk.pl
Ośrodek Kultury I Turystyki W Pakości,Kujawsko-Pomorskie,Inowrocławski,Pakość,Pakość,Ul. Św. Jana,12,,88-170,Pakość,523518345,www.okitpakosc.pro.wp.pl,okitpakosc@wp.pl
Gminny Ośrodek Kultury W Ryjewie,Pomorskie,Kwidzyński,Ryjewo,Ryjewo,Ul. Grunwaldzka,70,,82-420,Ryjewo,552774228,,zbrogroman@wp.pl
Centrum Kultury W Lublinie,Lubelskie,M. Lublin,M. Lublin,Lublin,Ul. Peowiaków,12,,20-007,Lublin,814666100,www.ck.lublin.pl,sekretariat@ck.lublin.pl
"Cieszyński Ośrodek Kultury ""Dom Narodowy""",Śląskie,Cieszyński,Cieszyn,Cieszyn,Rynek,12,,43-400,Cieszyn,338511455,,sekretariat@domnarodowy.pl
Gminny Ośrodek Kultury W Łukowie,Lubelskie,Łukowski,Łuków,Łuków,Ul. Świderska,12,,21-400,Łuków,257982439,,sekretariat@lukow.ug.gov.pl
Miejski Dom Kultury,Warmińsko-Mazurskie,Szczycieński,Szczytno,Szczytno,Ul. Polska,12,,12-100,Szczytno,896243559,www.mdk.szczytno.pl,sekretariat@mdk.szczytno.pl
Młodzieżowy Dom Kultury Nr 2 W Zabrzu,Śląskie,M. Zabrze,M. Zabrze,Zabrze,Ul. 3 Maja,12,,41-800,Zabrze,322715911,www.mdk2.zabrze.magistrat.pl,sekretariat@mdk2.zabrze.pl
Ośrodek Promocji Gminy Węgierska Górka,Śląskie,Żywiecki,Węgierska Górka,Węgierska Górka,Osiedle Xx-Lecia Ii Rp,12,,34-350,Węgierska Górka,338642187,,
Mysłowicki Ośrodek Kultury,Śląskie,M. Mysłowice,M. Mysłowice,Mysłowice,Ul. Franciszka Kawy,12,,41-412,Mysłowice,,,
Ośrodek Kultury Skrzyszów,Śląskie,Wodzisławski,Godów,Skrzyszów,Ul. Wyzwolenia,12,,44-348,Skrzyszów,,,
Powiatowy Dom Kultury W Raciborzu,Śląskie,Raciborski,Racibórz,Racibórz,Ul. Pawła Stalmacha,12,,47-400,Racibórz,,,
Gminny Ośrodek Kultury I Biblioteka W Kwidzynie,Pomorskie,Kwidzyński,Kwidzyn,Mareza,Ul. Długa,5,,82-500,Kwidzyn,552793322,www.gokkwidzyn.pl,biuro@gokkwidzyn.pl
Miejskie Centrum Kultury W Bydgoszczy,Kujawsko-Pomorskie,M. Bydgoszcz,M. Bydgoszcz,Bydgoszcz,Ul. Karola Marcinkowskiego,12-14,,85-056,Bydgoszcz,523255540,www.mck-bydgoszcz.pl,mck@mck-bydgoszcz.pl
"Powiatowy Ośrodek Kultury,Rekreacji I Sportu",Mazowieckie,Warszawski Zachodni,Ożarów Mazowiecki,Ożarów Mazowiecki,Ul. Mazowiecka,12/13,,05-850,Ożarów Mazowiecki,,,
Młodzieżowy Dom Kultury Nr 2,Wielkopolskie,M. Poznań,Poznań-Stare Miasto,Poznań,Ul. Za Cytadelą,121,,61-663,Poznań,618201112,www.mdk2.pl,sekretariat@mdk2.pl
Gminne Centrum Kultury I Sportu W Bobrownikach,Śląskie,Będziński,Bobrowniki,Bobrowniki,Ul. Sienkiewicza,121 A,,42-583,Bobrowniki,322874308,,gok@bobrowniki.pl
Gminny Ośrodek Kultury W Pilchowicach,Śląskie,Gliwicki,Pilchowice,Wilcza,Ul. Karola Miarki,123,,44-189,Pilchowice,323327172,,gok@pilchowice.pl
Gminny Ośrodek Kultury W Bestwinie,Śląskie,Bielski,Bestwina,Bestwina,Ul. Krakowska,123,,43-512,Bestwina,322157889,,kultura_bestwina@wp.pl
Miejsko-Gminny Ośrodek Kultury W Pilawie,Mazowieckie,Garwoliński,Pilawa,Pilawa,Al. Wyzwolenia,124,,08-440,Pilawa,256856064,www.mgokpilawa.pl,m_gok@o2.pl
"Gminny Ośrodek Kultury ""Jemioła"" W Ślemieniu",Śląskie,Żywiecki,Ślemień,Ślemień,Ul. Krakowska,124,,34-323,Ślemień,338654353,www.gok-jemiola.xsk.pl,slemien.gok@gmail.com
Świetlica Środowiskowa W Bukowcu,Łódzkie,Łódzki Wschodni,Brójce,Bukowiec,Ul. Rokicińska,124,,95-006,Brójce,696100623,,
Gminne Centrum Kultury I Promocji W Godziszowie,Lubelskie,Janowski,Godziszów,Godziszów Trzeci,,124A,,23-302,Godziszów Trzeci,158711455,,gckip@godziszow.pl
Brochowskie Centrum Rewitalizacji Społecznej,Mazowieckie,Sochaczewski,Brochów,Brochów,,126,,05-088,Brochów,,,
Gminny Ośrodek Kultury W Oleśnie,Małopolskie,Dąbrowski,Olesno,Zalipie,,128A,,33-263,Zalipie,146411938,,dommalarek@interia.pl
Gminny Ośrodek Kultury W Papowie Biskupim,Kujawsko-Pomorskie,Chełmiński,Papowo Biskupie,Papowo Biskupie,,129,,86-221,Papowo Biskupie,605857880,,gok@papowobiskupie.pl
Centrum Kultury W Łomiankach,Mazowieckie,Warszawski Zachodni,Łomianki,Łomianki,Ul. Wiejska,12A,,05-092,Łomianki,227513502,www.kultura.lomianki.pl,ck@kultura.lomianki.pl
Gminny Ośrodek Kultury W Purdzie,Warmińsko-Mazurskie,Olsztyński,Purda,Purda,,12A,,11-030,Purda,895124663,www.gokpurda.pl/kontakty/,j.weihs@gokpurda.pl
Ognisko Pracy Pozaszkolnej W Ostrowcu Świętokrzyskim,Świętokrzyskie,Ostrowiecki,Ostrowiec Świętokrzyski,Ostrowiec Świętokrzyski,Ul. Jana Kilińskiego,12A,,27-400,Ostrowiec Świętokrzyski,412627197,www.ogniskoplastyczne.wordpress.pl,popostrowiec@vp.pl
Dzielnicowy Ośrodek Kultury Ursynów,Mazowieckie,M. St. Warszawa,Ursynów,Warszawa,Ul. Kajakowa,12B,,02-838,Warszawa,221255602,www.dokursynow.pl/,biuro@dokursynow.pl
"Dom Kultury ""Śródmieście"" W Białymstoku",Podlaskie,M. Białystok,M. Białystok,Białystok,Ul. Jana Kilińskiego,13,,15-089,Białystok,857416517,,bdks@dksrodmiescie.pl
Gminny Ośrodek Kultury I Biblioteka W Lubrzy,Lubuskie,Świebodziński,Lubrza,Lubrza,Os. Szkolne,13,,66-218,Lubrza,512004128,,biblioteka@lubrza.pl
"Gminny Ośrodek Kultury, Sportu I Rekreacji Łambinowice",Opolskie,Nyski,Łambinowice,Łambinowice,Ul. Obozowa,13,,48-316,Łambinowice,774311635,www.goksirlambinowice.pl,biuro@goksirlambinowice.pl
Dębińskie Centrum Kultury,Małopolskie,Brzeski,Dębno,Jastew,,13,,32-852,Dębno,146658661,www.kulturadebno.pl/kontakt/,biuro@kulturadebno.pl
Kwidzyńskie Centrum Kultury W Kwidzynie,Pomorskie,Kwidzyński,Kwidzyn,Kwidzyn,Ul. 11 Listopada,13,,82-500,Kwidzyn,552793528,www.kckkwidzyn.pl,kck@kck-kwidzyn.pl
Centrum Kultury W Jedlinie-Zdroju,Dolnośląskie,Wałbrzyski,Jedlina-Zdrój,Jedlina-Zdrój,Ul. Piastowska,13,,58-330,Jedlina-Zdrój,748455249,www.ckjedlina.pl/kontakt/,cksekretariat@jedlinazdroj.eu
Dom Kultury W Golubiu-Dobrzyniu,Kujawsko-Pomorskie,Golubsko-Dobrzyński,Golub-Dobrzyń,Golub-Dobrzyń,Ul. Gen. Józefa Hallera,13,,87-400,Golub-Dobrzyń,566832408,,domkultury13@wp.pl
Miejski Dom Kultury W Turku,Wielkopolskie,Turecki,Turek,Turek,Ul. Tadeusza Kościuszki,13,,62-700,Turek,632800020,www.mdk.turek.pl,dyrektormdkturek@gmail.com
Gminny Ośrodek Kultury W Platerowie,Mazowieckie,Łosicki,Platerów,Platerów,Ul. 3 Maja,13,,08-210,Platerów,833578410,www.platerow.com.pl,gciplaterow@o2.pl
Centrum Kultury I Sportu Gminy Bełchatów,Łódzkie,Bełchatowski,Bełchatów,Bełchatów,Ul. Kościuszki,13,,97-400,Bełchatów,446325211,,gck20a@wp.pl
Gminny Ośrodek Kultury W Rejowcu,Lubelskie,Chełmski,Rejowiec,Rejowiec,Ul. Fabryczna,13,,22-360,Rejowiec,825688335,www.gok.rejowiec.pl,gok.rejowiec@interia.pl
Gminny Ośrodek Kultury W Wojniczu,Małopolskie,Tarnowski,Wojnicz,Wojnicz,Ul. Rynek,13,,32-830,Wojnicz,601310598,www.gokwojnicz.pl,gok@gok.wojnicz.pl
Gminny Ośrodek Kultury W Janowie Podlaskim,Lubelskie,Bialski,Janów Podlaski,Janów Podlaski,Ul. 1 Maja,13,,21-505,Janów Podlaski,833413089,,gok@janowpodlaski.pl
Gminny Ośrodek Kultury W Świnnej,Śląskie,Żywiecki,Świnna,Świnna,Ul. Wspólna,13,,34-331,Świnna,789806961,www.swinna.naszgok.pl,gok@swinna.pl
Gminny Ośrodek Kultury Sportu I Rekreacji W Baranowie,Mazowieckie,Ostrołęcki,Baranowo,Baranowo,Ul. Długa,13,,06-320,Baranowo,297613676,www.goksirbaranowo.pl,gokbaranowo@gmail.com
Gminne Centrum Kultury W Józefowie Nad Wisłą,Lubelskie,Opolski,Józefów Nad Wisłą,Józefów Nad Wisłą,Ul. Parkowa,13,,24-340,Józefów Nad Wisłą,818285078,,gokisjozefow@o2.pl
Gminny Ośrodek Kultury,Wielkopolskie,Nowotomyski,Kuślin,Kuślin,Ul. Leśna,13,,64-316,Kuślin,614473090,,gokkuslin@op.pl
Gminny Ośrodek Kultury W Lutomiersku,Łódzkie,Pabianicki,Lutomiersk,Lutomiersk,Pl. Jana Pawła Ii,13,,95-083,Lutomiersk,436775969,www.goklutomiersk.pl,goklutomiersk@interia.pl
Gminny Ośrodek Kultury W Śniadowie,Podlaskie,Łomżyński,Śniadowo,Śniadowo,Ul. Ostrołęcka,13,,18-411,Śniadowo,862176169,,goksniadowo@op.pl
Gminny Ośrodek Kultury W Świętajnie,Warmińsko-Mazurskie,Szczycieński,Świętajno,Świętajno,Ul. Mickiewicza,13,,12-140,Świętajno,896226081,,gokswietajno@op.pl
Miejski Dom Kultury W Świebodzicach,Dolnośląskie,Świdnicki,Świebodzice,Świebodzice,Ul. Wolności,13,,58-160,Świebodzice,746669570,www.mdk.swiebodzice.pl,impresariat@mdk.swiebodzice.pl
Dom Kultury W Górsku,Kujawsko-Pomorskie,Toruński,Zławieś Wielka,Górsk,Ul. Leśna,13,,87-134,Zławieś Wielka,566102128,www.domkulturygorsk.pl/index.php/kontakt,info@domkulturygorsk.pl
Toruńska Agenda Kulturalna,Kujawsko-Pomorskie,M. Toruń,M. Toruń,Toruń,Ul. Marii Konopnickiej,13,4,87-100,Toruń,662072661,,info@tak.torun.pl
Miejski Ośrodek Kultury W Piotrkowie Tryb.,Łódzkie,M. Piotrków Trybunalski,M. Piotrków Trybunalski,Piotrków Trybunalski,Ul. Juliusza Słowackiego,13,,97-300,Piotrków Trybunalski,447325237,www.mok.piotrkow.pl,kancelaria@mok.piotrkow.pl
Narodowe Centrum Kultury,Mazowieckie,M. St. Warszawa,Wola,Warszawa,Ul. Płocka,13,,01-231,Warszawa,222100105,www.nck.pl,Katarzyna.kokoryn@gmail.com
Gminne Centrum Kultury,Pomorskie,Malborski,Malbork,Malbork,Ul. Ceglana,7,,82-200,Malbork,556472807,,gok@gmina.malbork.pl
